id,talent_id,talent_evaluation_competence_id,points,question_id,talent_answer_id,pending,question_category_id,,,,,,
240,2635,80,2,70,70,0,9,,,,,,
241,2636,81,0,48,48,0,12,,,,,,
242,2636,81,0,51,51,0,8,,,,,,
243,2636,81,0,52,52,0,8,,,,,,
244,2636,82,0,56,56,0,12,,,,,,
245,2636,82,0,50,50,0,8,,,,,,
246,2636,82,0,49,49,0,8,,,,,,
247,2636,83,0,68,68,0,12,,,,,,
248,2636,83,0,45,45,0,11,,,,,,
249,2636,83,0,44,44,0,8,,,,,,
250,2636,84,2,35,35,0,12,,,,,,
251,2636,84,2,37,37,0,9,,,,,,
252,2636,84,2,38,38,0,10,,,,,,
253,2636,85,0,53,53,0,9,,,,,,
254,2636,85,0,66,66,0,12,,,,,,
255,2636,85,0,70,70,0,9,,,,,,
256,2637,86,2,48,48,0,12,,,,,,
257,2637,86,2,51,51,0,8,,,,,,
258,2637,86,2,52,52,0,8,,,,,,
259,2637,87,0,56,56,0,12,,,,,,
260,2637,87,0,50,50,0,8,,,,,,
261,2637,87,0,49,49,0,8,,,,,,
262,2637,88,2,68,68,0,12,,,,,,
263,2637,88,2,45,45,0,11,,,,,,
264,2637,88,2,44,44,0,8,,,,,,
265,2637,89,0,35,35,0,12,,,,,,
266,2637,89,0,37,37,0,9,,,,,,
267,2637,89,0,38,38,0,10,,,,,,
268,2637,90,2,53,53,0,9,,,,,,
269,2637,90,2,66,66,0,12,,,,,,
270,2637,90,2,70,70,0,9,,,,,,
271,2638,91,2,48,48,0,12,,,,,,
272,2638,91,2,51,51,0,8,,,,,,
273,2638,91,2,52,52,0,8,,,,,,
274,2638,92,0,56,56,0,12,,,,,,
275,2638,92,0,50,50,0,8,,,,,,
276,2638,92,0,49,49,0,8,,,,,,
277,2638,93,2,68,68,0,12,,,,,,
278,2638,93,2,45,45,0,11,,,,,,
279,2638,93,2,44,44,0,8,,,,,,
280,2638,94,0,35,35,0,12,,,,,,
281,2638,94,0,37,37,0,9,,,,,,
282,2638,94,0,38,38,0,10,,,,,,
283,2638,95,2,53,53,0,9,,,,,,
284,2638,95,2,66,66,0,12,,,,,,
285,2638,95,2,70,70,0,9,,,,,,
286,2639,96,0,48,48,0,12,,,,,,
287,2639,96,0,51,51,0,8,,,,,,
288,2639,96,2,52,52,0,8,,,,,,
289,2639,97,2,56,56,0,12,,,,,,
290,2639,97,2,50,50,0,8,,,,,,
291,2639,97,0,49,49,0,8,,,,,,
292,2639,98,2,68,68,0,12,,,,,,
293,2639,98,2,45,45,0,11,,,,,,
294,2639,98,2,44,44,0,8,,,,,,
295,2639,99,2,35,35,0,12,,,,,,
296,2639,99,2,37,37,0,9,,,,,,
297,2639,99,2,38,38,0,10,,,,,,
298,2639,100,0,53,53,0,9,,,,,,
299,2639,100,0,66,66,0,12,,,,,,
300,2639,100,0,70,70,0,9,,,,,,
301,2640,101,0,48,48,0,12,,,,,,
302,2640,101,0,51,51,0,8,,,,,,
303,2640,101,0,52,52,0,8,,,,,,
304,2640,102,0,56,56,0,12,,,,,,
305,2640,102,0,50,50,0,8,,,,,,
306,2640,102,0,49,49,0,8,,,,,,
307,2640,103,2,68,68,0,12,,,,,,
308,2640,103,2,45,45,0,11,,,,,,
309,2640,103,2,44,44,0,8,,,,,,
310,2640,104,2,35,35,0,12,,,,,,
311,2640,104,2,37,37,0,9,,,,,,
312,2640,104,2,38,38,0,10,,,,,,
313,2640,105,2,53,53,0,9,,,,,,
314,2640,105,2,66,66,0,12,,,,,,
315,2640,105,2,70,70,0,9,,,,,,
316,2641,106,0,48,48,0,12,,,,,,
317,2641,106,0,51,51,0,8,,,,,,
318,2641,106,0,52,52,0,8,,,,,,
319,2641,107,0,56,56,0,12,,,,,,
320,2641,107,0,50,50,0,8,,,,,,
321,2641,107,0,49,49,0,8,,,,,,
322,2641,108,2,68,68,0,12,,,,,,
323,2641,108,2,45,45,0,11,,,,,,
324,2641,108,2,44,44,0,8,,,,,,
325,2641,109,0,35,35,0,12,,,,,,
326,2641,109,0,37,37,0,9,,,,,,
327,2641,109,0,38,38,0,10,,,,,,
328,2641,110,0,53,53,0,9,,,,,,
329,2641,110,0,66,66,0,12,,,,,,
330,2641,110,0,70,70,0,9,,,,,,
331,2664,111,2,48,48,0,12,,,,,,
332,2664,111,2,51,51,0,8,,,,,,
333,2664,111,2,52,52,0,8,,,,,,
334,2664,112,2,56,56,0,12,,,,,,
335,2664,112,2,50,50,0,8,,,,,,
336,2664,112,2,49,49,0,8,,,,,,
337,2664,113,0,68,68,0,12,,,,,,
338,2664,113,0,45,45,0,11,,,,,,
339,2664,113,0,44,44,0,8,,,,,,
340,2664,114,0,35,35,0,12,,,,,,
341,2664,114,0,37,37,0,9,,,,,,
342,2664,114,0,38,38,0,10,,,,,,
343,2664,115,2,53,53,0,9,,,,,,
344,2664,115,2,66,66,0,12,,,,,,
345,2664,115,2,70,70,0,9,,,,,,
346,2665,116,2,48,48,0,12,,,,,,
347,2665,116,2,51,51,0,8,,,,,,
348,2665,116,2,52,52,0,8,,,,,,
349,2665,117,2,56,56,0,12,,,,,,
350,2665,117,2,50,50,0,8,,,,,,
351,2665,117,2,49,49,0,8,,,,,,
352,2665,118,0,68,68,0,12,,,,,,
353,2665,118,0,45,45,0,11,,,,,,
354,2665,118,0,44,44,0,8,,,,,,
355,2665,119,0,35,35,0,12,,,,,,
356,2665,119,0,37,37,0,9,,,,,,
357,2665,119,0,38,38,0,10,,,,,,
358,2665,120,2,53,53,0,9,,,,,,
359,2665,120,2,66,66,0,12,,,,,,
360,2665,120,2,70,70,0,9,,,,,,
361,2666,121,0,48,48,0,12,,,,,,
362,2666,121,0,51,51,0,8,,,,,,
363,2666,121,0,52,52,0,8,,,,,,
364,2666,122,2,56,56,0,12,,,,,,
365,2666,122,2,50,50,0,8,,,,,,
366,2666,122,2,49,49,0,8,,,,,,
367,2666,123,2,68,68,0,12,,,,,,
368,2666,123,2,45,45,0,11,,,,,,
369,2666,123,2,44,44,0,8,,,,,,
